SpecCode,PicPreferredName
22693,https://www.fishbase.se/images/species/Allon_u0.jpg
55082,
22688,
58911,
10000,https://www.fishbase.se/images/species/Alpro_u0.jpg
5071,https://www.fishbase.se/images/species/Alros_u0.jpg
11590,https://www.fishbase.se/images/species/Alten_u0.jpg
22694,
22687,https://www.fishbase.se/images/species/Alumb_u0.gif
46981,
66488,
2405,https://www.fishbase.se/images/species/Albar_u1.jpg
5229,https://www.fishbase.se/images/species/Alden_u0.jpg
64866,
11092,
5230,https://www.fishbase.se/images/species/Almac_u1.gif
11098,https://www.fishbase.se/images/species/Alstu_u0.gif
69272,
11130,
11105,
11107,https://www.fishbase.se/images/species/Alcau_u1.jpg
11108,
66431,
11109,
11110,
11112,https://www.fishbase.se/images/species/Alnig_u1.jpg
5244,https://www.fishbase.se/images/species/Alsmy_u1.jpg
11131,
48583,https://www.fishbase.se/images/species/Agtor_u0.jpg
2633,https://www.fishbase.se/images/species/Ahegm_u2.jpg
9155,https://www.fishbase.se/images/species/Ahber_u0.jpg
22983,
47911,
47912,
25971,https://www.fishbase.se/images/species/Aisph_u2.jpg
13334,https://www.fishbase.se/images/species/Aicoi_u3.jpg
24749,https://www.fishbase.se/images/species/Aipun_u0.jpg
59224,https://www.fishbase.se/images/species/Aibra_u0.jpg
59225,https://www.fishbase.se/images/species/Aimeg_u0.jpg
27609,https://www.fishbase.se/images/species/Ainov_u0.jpg
60866,
7093,https://www.fishbase.se/images/species/Aknud_u0.jpg
67374,
69495,
63909,
63910,https://www.fishbase.se/images/species/Akvan_m0.jpg
54387,https://www.fishbase.se/images/species/Akbre_u0.jpg
56506,
62085,https://www.fishbase.se/images/species/Akros_f0.jpg
66310,https://www.fishbase.se/images/species/Akbil_u0.jpg
54773,https://www.fishbase.se/images/species/Akbra_u0.gif
62037,https://www.fishbase.se/images/species/Akcla_u0.jpg
62564,
52539,https://www.fishbase.se/images/species/Akeph_u0.jpg
64889,https://www.fishbase.se/images/species/Akfon_u0.jpg
62565,
64033,https://www.fishbase.se/images/species/Akgal_u0.jpg
26974,https://www.fishbase.se/images/species/Akhen_u1.jpg
27400,https://www.fishbase.se/images/species/Akhet_u0.jpg
62593,https://www.fishbase.se/images/species/Aklon_u1.jpg
26747,https://www.fishbase.se/images/species/Akmac_u1.jpg
60651,
58042,
24796,https://www.fishbase.se/images/species/Akpic_u0.jpg
64863,https://www.fishbase.se/images/species/Akpor_u0.jpg
24798,https://www.fishbase.se/images/species/Akpra_u1.jpg
63540,https://www.fishbase.se/images/species/Akpul_u0.jpg
52542,https://www.fishbase.se/images/species/Akrec_u0.jpg
64032,https://www.fishbase.se/images/species/Aksco_u0.jpg
23309,https://www.fishbase.se/images/species/Akvar_u1.jpg
52544,https://www.fishbase.se/images/species/Akvar_u0.jpg
62235,https://www.fishbase.se/images/species/Akves_u1.jpg
64791,
64541,
55697,
51362,https://www.fishbase.se/images/species/Aldor_u0.jpg
62615,https://www.fishbase.se/images/species/Alelo_u1.jpg
